Date, Close/Last, Volume, Open, High, Low
06/17/2019, 289.37, 39205710, 289.52, 290.22, 289.18
06/14/2019, 289.26, 52324720, 289.26, 289.93, 288.41
06/13/2019, 289.58, 48945160, 289.4, 289.98, 288.62
06/12/2019, 288.39, 47096310, 288.64, 289.26, 287.815
06/11/2019, 288.9, 58641330, 290.99, 291.4, 288.1805
06/10/2019, 288.97, 60799050, 289.37, 290.82, 288.8734
06/07/2019, 287.65, 74272200, 285.93, 288.85, 285.74
06/06/2019, 284.8, 69430380, 283.29, 285.55, 282.57
06/05/2019, 282.96, 71169720, 282.33, 282.99, 280.32
06/04/2019, 280.53, 77231890, 277.12, 280.68, 276.62
06/03/2019, 274.57, 96427950, 275.31, 276.5521, 273.09
05/31/2019, 275.27, 86862780, 276.2, 277.12, 275.24
05/30/2019, 279.03, 62523780, 279.11, 280.04, 277.805
05/29/2019, 278.27, 104972900, 278.91, 279.36, 276.71
05/28/2019, 280.15, 70029360, 283.09, 284.15, 280.13
05/24/2019, 282.78, 55268100, 283.74, 284.2, 282.09
05/23/2019, 282.14, 98733850, 283.16, 283.21, 280.57
05/22/2019, 285.63, 49482470, 285.45, 286.69, 285.1
05/21/2019, 286.51, 46847090, 285.83, 286.93, 285.55
05/20/2019, 283.95, 62877610, 284.06, 285.43, 283.12
05/17/2019, 285.84, 100353000, 285.14, 288.6, 285.1207
05/16/2019, 287.7, 76749640, 285.84, 289.21, 285.76
05/15/2019, 285.06, 73956410, 281.59, 285.77, 281.36
05/14/2019, 283.4, 77003230, 281.99, 285.1, 281.85
05/13/2019, 280.86, 127290500, 282.42, 283.49, 279.93
05/10/2019, 288.1, 112429300, 285.62, 288.94, 282.3
05/09/2019, 286.66, 103471100, 285.23, 287.33, 283.3
05/08/2019, 287.53, 91568290, 287.53, 289.43, 286.87
05/07/2019, 287.93, 144729900, 290.15, 290.81, 285.81
05/06/2019, 292.82, 107198100, 289.25, 293.31, 288.9
05/03/2019, 294.03, 56543650, 292.82, 294.34, 291.2998
05/02/2019, 291.18, 65030170, 291.68, 292.7, 289.52
05/01/2019, 291.81, 71671870, 294.72, 294.95, 291.8
04/30/2019, 294.02, 78594690, 293.49, 294.34, 291.92
04/29/2019, 293.87, 57043380, 293.51, 294.45, 293.41
04/26/2019, 293.41, 50868100, 292.1, 293.49, 291.2401
04/25/2019, 292.05, 57578550, 292.12, 292.78, 290.73
04/24/2019, 292.23, 49470960, 292.79, 293.16, 292.07
04/23/2019, 292.88, 52136160, 290.68, 293.14, 290.42
04/22/2019, 290.27, 39992680, 289.17, 290.435, 289.07
04/18/2019, 290.02, 68662280, 290.1, 290.32, 288.66
04/17/2019, 289.45, 58028490, 291.4, 291.425, 288.99
04/16/2019, 290.16, 52066270, 290.95, 291.01, 289.5
04/15/2019, 289.97, 49795630, 290.24, 290.35, 289.075
04/12/2019, 290.16, 69638530, 290, 290.47, 288.261
04/11/2019, 288.21, 54940520, 288.83, 288.84, 287.578
04/10/2019, 288.29, 52463390, 287.77, 288.3899, 287.31
04/09/2019, 287.31, 66072820, 287.72, 288.08, 286.7
04/08/2019, 288.79, 53462150, 288.1, 288.91, 287.37
04/05/2019, 288.57, 58454610, 287.92, 288.63, 287.6
04/04/2019, 287.18, 48868830, 286.78, 287.459, 286.01
04/03/2019, 286.42, 68027480, 287.32, 287.76, 285.75
04/02/2019, 285.97, 39939210, 286.04, 286.23, 285.09
04/01/2019, 285.83, 77289510, 284.7, 286.16, 284.4
03/29/2019, 282.48, 81882480, 282.39, 282.84, 281.14
03/28/2019, 280.71, 55987830, 280.35, 281.21, 279.07
03/27/2019, 279.65, 72092750, 281.11, 281.76, 277.93
03/26/2019, 281.12, 67884060, 280.99, 282.18, 279.56
03/25/2019, 279.04, 84898680, 278.87, 280.1853, 277.64
03/22/2019, 279.25, 122400900, 283.22, 283.8034, 279.18
03/21/2019, 284.73, 79394020, 280.64, 285.18, 280.59
03/20/2019, 281.55, 84349430, 282.16, 283.5, 280.32
03/19/2019, 282.4, 90060530, 283.51, 284.36, 281.41
03/18/2019, 282.33, 61813150, 281.55, 282.66, 281.3
03/15/2019, 281.31, 80558110, 280.54, 282.21, 280.33
03/14/2019, 281.16, 67354180, 281.37, 281.84, 280.6662
03/13/2019, 281.34, 80111580, 280.48, 282.38, 280.3
03/12/2019, 279.49, 79432230, 279.06, 280.07, 278.85
03/11/2019, 278.44, 64752480, 275.26, 278.62, 275.23
03/08/2019, 274.46, 85634780, 272.94, 274.65, 272.42
03/07/2019, 275.01, 94692650, 276.83, 276.99, 274.07
03/06/2019, 277.33, 74824560, 279.15, 279.16, 276.97
03/05/2019, 279.02, 58813100, 279.54, 279.76, 278.41
03/04/2019, 279.4, 106181700, 281.6, 281.87, 276.84
03/01/2019, 280.42, 77586110, 280.44, 280.88, 278.82
02/28/2019, 278.68, 69048080, 278.96, 279.45, 278.32
02/27/2019, 279.2, 56131350, 278.52, 279.59, 277.48
02/26/2019, 279.32, 56491990, 279.13, 280.3, 278.9
02/25/2019, 279.52, 68642630, 280.73, 281.31, 279.43
02/22/2019, 279.14, 77132070, 278.11, 279.36, 277.4029
02/21/2019, 277.42, 63984460, 277.7, 278.1, 276.345
02/20/2019, 278.41, 76479570, 277.81, 278.92, 277.25
02/19/2019, 277.85, 58802310, 276.481, 278.58, 276.47
02/15/2019, 277.37, 96744830, 276.36, 277.41, 276.13
02/14/2019, 274.38, 82409970, 273.78, 275.64, 272.87
02/13/2019, 274.99, 64930780, 275.03, 275.93, 274.56
02/12/2019, 274.1, 71990420, 272.42, 274.52, 272.34
02/11/2019, 270.62, 67807910, 271.2, 271.49, 270.03
02/08/2019, 270.47, 75742440, 268.75, 270.58, 267.83
02/07/2019, 270.14, 95030290, 270.94, 271.55, 268.29
02/06/2019, 272.74, 58009950, 272.79, 273.34, 271.92
02/05/2019, 273.1, 79447070, 272.44, 273.44, 271.88
02/04/2019, 271.96, 60610790, 270.11, 272.03, 269.36
02/01/2019, 270.06, 85738850, 270.15, 271.2, 269.18
01/31/2019, 269.93, 103347200, 267.51, 270.47, 267.27
01/30/2019, 267.58, 92069900, 265.1, 268.52, 264.25
01/29/2019, 263.41, 65024130, 263.92, 264.55, 262.48
01/28/2019, 263.76, 85027280, 263.39, 263.83, 261.79
01/25/2019, 265.78, 96838230, 265.61, 266.7, 263.6595
01/24/2019, 263.55, 58643080, 263.21, 264.2, 262.08
01/23/2019, 263.41, 84305190, 264.01, 264.79, 260.66
01/22/2019, 262.86, 115253300, 264.82, 265.06, 261.06
